Write an email
go to the living room,find the computer,took the chair and place the chair to in front of the computer,sat on the chair,switch on the computer,open the email,and compose a new mail


[WALK] <home_office> (1.241)
[WALK] <computer> (1.276)
[FIND] <computer> (1.276)
[TURNTO] <computer> (1.276)
[LOOKAT] <computer> (1.276)
[FIND] <chair> (1.271)
[SIT] <chair> (1.271)
[SWITCHON] <computer> (1.276)
[TURNTO] <computer> (1.276)
[FIND] <mouse> (1.280)
[TURNTO] <mouse> (1.280)
[POINTAT] <mouse> (1.280)
